at,sale,gsector
1664.396,963.875,35
434.388,318.79,30
36385,3474,25
5935.791,363.842,40
183349,7676,40
841.649,462.524,35
1973.366,883.026,45
933.581,893.491,25
826.84,176.319,35
789.428,362.048,35
707.006,351.594,45
1773.536,336.281,60
168.978,71.241,35
8063.306,4415.777,35
1011.22,291.778,45
988.847,976.021,25
170.267,112.92,10
65.733,58.683,35
14029.467,577.587,40
7157.2,3737.6,15
2880.425,2425.788,25
1398.619,667.648,45
980.577,1846.36,20
47490,51533,35
5519.201,3147.599,45
71.372,43.01,45
1182.986,847.396,40
2133.861,3124.87,10
2939.56,343.07,60
105.01,29.323,35
4308.011,2332.451,15
1136.555,545.744,35
1764.939,2225.522,25
1005.257,144.523,10
1145.348,522.867,25
2457.54,245.078,60
1971.398,667.524,35
4608.629,199.77,40
7082,4969,15
6876.9,3147.7,45
51.544,42.592,30
1653.732,102.188,40
3430.485,279.598,35
1654.349,67.528,40
3079.603,369.776,60
580.096,399.9,20
6432.9,3316.7,45
4731.818,1067.139,60
5728.3,2744.8,30
1744.235,2053.131,45
1829.214,204.8,60
1655.812,1594.506,15
261.552,57.017,35
2437.109,1459.271,45
3513.577,432.487,60
317.415,879.221,20
517.31,1100.938,20
1373.523,732.915,20
4488.338,1325.229,50
2404.489,1725.625,25
2815.283,2718.038,25
1171.607,1034.523,40
3292.6,1678.6,45
622.789,589.837,25
353.744,43.997,35
1718.393,793.735,35
10082.179,3180.679,40
2121.798,140.044,40
60.328,43.313,35
3706,1904,20
19043.134,743.394,40
6701.3,842.5,45
643.841,310.016,35
668.402,75.85,60
560.724,380.53,15
3366.228,133.171,40
16006,11789,35
1220.661,1092.748,25
2057.705,416.857,60
14423.872,12631.967,25
17163.3,8497.1,35
1370.185,1022.433,35
211.565,248.811,25
1303.491,613.061,10
4829.759,601.879,60
12059,9741,15
1005.502,224.959,35
3967.014,330.104,60
2389.755,729.264,35
389.48,310.056,45
2005.855,1808.821,25
807.481,769.169,25
731.687,618.003,45
2372.197,1631.284,40
1976.595,2234.719,25
932.153,391.005,35
342.94,33.215,35
2294.561,2706.655,35
34603,9660,55
424.76,552.644,35
33638.602,1382.409,40
3102.5,1482.4,40
17755.281,1093.962,35
13220,157,40
2074.945,689.268,25
1864.7,1172.7,15
1949.73,1038.756,35
6202.716,4613.838,30
2648.943,115.177,60
11751.808,6205.683,35
1811.814,1125.721,25
757.449,82.356,25
1041.782,442.15,45
7354.526,1199.146,40
578.983,437.714,35
5375,4455,45
1197.023,822.811,40
4654.803,886.861,40
46671.088,2112.949,40
214.401,154.345,35
24618.9,13444.6,35
1233.798,603.319,50
913.122,411.486,45
89.097,168.947,50
3120.489,329.685,60
1126.9,1454.1,20
2098.5,1350.6,20
70379,21454,45
4369.41,4015.129,20
3556.495,525.328,60
7311.6,2716.6,20
13471.813,1299.778,40
1083.711,455.444,50
1161.47,1481.889,20
15230,3764.6,50
954.27,524.471,40
11614.498,1133.874,60
896.692,253.699,40
407.457,880.092,30
11488.4,5085.8,35
2378.558,2994.891,20
35594,21731,45
4077.023,619.764,60
277.291,148.18,50
68407,24689,35
1849.737,406.618,25
203.824,62.484,35
14382.943,922.191,20
207.923,363.073,25
24024.8,5527.1,20
8030.062,3685.281,45
1980.6,1589.46,25
58.877,232.915,30
3466.943,603.896,40
1763.691,1273.049,35
14327.751,9552.197,25
88229,27243,15
5478.49,4617.369,20
515.423,65.507,45
14929.612,733.664,40
8504.2,9149.7,20
2203.235,148.128,45
2426.067,1525.452,40
845.814,901.278,25
1269.228,428.867,45
30777,9913,35
15337,15955,25
6574.471,3107.519,35
594.361,422.969,35
1505.781,63.946,40
205.437,198.456,20
6456.93,9233.028,25
7489,1669.3,40
18912.3,20336.1,25
724.002,123.803,35
16584.779,622.309,40
7804.6,6559.9,15
3365.469,1016.609,30
523.538,70.871,20
