,Ticker,Book/Price,E/P,EBIT/P,SALES/P,RetYTD
1473,ACN,0.07453079319016327,0.022542383668722344,0.029086335932022474,0.1928525271290799,-0.2294
1474,CCRN,0.28948431922964835,0.128433320920895,0.14003981995322295,1.6313236495557675,-0.2795
1475,BG,0.5299534359629358,0.1577938443804242,0.17457557662685047,4.491733148600026,0.3278
1476,PDFS,0.1846344873241742,-0.018067836435193,-0.013299468023801551,0.09338300048829741,-0.2639
1477,AMN,0.20098421899067903,0.0566250366703359,0.08639560801639898,0.6891133852744626,-0.1498
1478,ZBH,0.476838097935473,0.01512540223928266,0.04174550757475323,0.2951336579369192,-0.0082
1479,ABG,0.5293213846635075,0.13321233996447712,0.19799196959784138,2.4615008205644946,-0.1104
1480,XPO,0.12780126790537313,0.037733942017755165,0.07951080639455553,1.4381573258314662,-0.2667
1481,BGFV,0.6363530773658117,0.24373906669500836,0.319744157062554,2.7658168349930126,-0.1362
1482,ANTM,0.32176166394825384,0.05446570151802944,0.07982473227068992,1.2370691993378249,0.1147
1483,GME,0.35496792527059495,-0.17500479576542044,-0.19353758416974734,4.13720115878698,0.016
1484,CNC,0.5582725537486354,0.028064681093465643,0.07267231451670984,2.6248289929599027,0.0502
1485,PFG,0.8489409317387441,0.09037041568647837,0.10178162215688602,0.7332598261449865,0.0224
1486,AAP,0.21030925134281464,0.041419807884342866,0.06060800239981947,0.7393745763634235,-0.0884
1487,AYI,0.2743982141828689,0.0411094023009111,0.05812759430794841,0.464510745554859,-0.1933
1488,PDM,0.7894215006267961,-0.000509690921921955,0.021990533045905966,0.23806367737995138,-0.1034
1489,MANT,0.5631186340944506,0.04605222922474325,0.06329412845622624,0.8583998127378967,0.1497
1490,CORT,0.17915896743535029,0.05363813708159564,0.05934224251196122,0.17447363954821005,0.2369
1491,CUTR,0.07607927016405278,0.002773170023834199,0.005179184171573958,0.3110334778914332,0.5603
1492,CCOI,-0.1069421531171503,0.013811405174913527,0.03205702095594747,0.16375594228649312,-0.0931
1493,VRNT,0.2868393506228154,-0.001644627355029086,0.03876563427415538,0.2882578898083558,0.0099
1494,JBLU,0.8446716994382022,-0.039940308988764044,-0.20035990168539325,1.3248332162921348,-0.1025
1495,NFLX,0.059258149294745134,0.01912886987760904,0.023160413612661145,0.11103613707628597,-0.4338
1496,CVGW,0.30073221757322177,-0.015759720405650775,0.006366297615212117,1.4079865963697968,-0.0927
1497,CPSI,0.5186967561061155,0.04295051136277568,0.06897950004486149,0.6539966930669765,0.1529
1498,OSTK,0.29320535065083025,0.14514883155450567,0.04367675978896428,1.0857333641149598,-0.3491
1499,ACM,0.24493769919270758,0.015638711371808375,0.058094807993426374,1.2046870911569276,-0.0138
1500,GLDD,0.38605373025915374,0.04782844982335829,0.09001795714852649,0.7025930775769097,-0.1177
1501,TDG,-0.08301581445002078,0.01935896907613653,0.050219443309271826,0.1365946082754457,0.0035
1502,TA,0.9175756242405407,0.07640316799252961,0.1606667603320454,6.119348181594341,-0.247
1503,FORM,0.22805124078627195,0.023460948211217598,0.028591248501626358,0.21516231177637732,-0.2126
1504,SAFT,0.7346270398210588,0.10356546229777033,0.11098008701035954,0.6815520183423774,0.0612
1505,NPO,0.5549661285979554,0.0776409268810656,0.05494453854901595,0.500284482577882,-0.1103
1506,CME,0.3344387470559039,0.03218017660079582,0.03228759032939808,0.05724297307113949,0.0403
1507,NXST,0.46320675558673774,0.1356251083104545,0.1919430506892716,0.75540377817287,0.1261
1508,WYNN,-0.021789553428479293,-0.07680437009717771,-0.039051955145417,0.38247049135261074,-0.1302
1509,NDAQ,0.18269097017069832,0.033909958028556515,0.04642264683774586,0.16814996879198285,-0.1498
1510,BANC,0.795271934295186,0.05109789414322044,0.09150593114548519,0.2538650517286473,-0.078
1511,DKS,0.4900660889396173,0.11107256134184029,0.19197596572356446,2.0075804445043253,-0.0855
1512,CRI,0.22813031954287563,0.08157015553170947,0.12085635035790171,0.8439460031634569,-0.1138
1513,PFS,0.9103550054945427,0.09007606103464336,0.1546051541095027,0.26238841540351554,-0.0838
1514,TCBI,0.9540366609916946,0.08326429180193191,0.15066554888652753,0.33274862185397885,-0.0767
1515,PRAA,0.6247395352317768,0.08895432783557594,0.18212427041696042,0.5321640526099395,-0.1093
1516,SAIA,0.13748125609577777,0.028529152196502337,0.03731789080354141,0.257842655038773,-0.4074
1517,HALO,0.03562313577582765,0.0728386620578694,0.04990274028231304,0.0801820349056991,0.0512
1518,FBMS,0.8329767186301247,0.07904736827957858,0.12212077410960749,0.2622938201778377,-0.1543
1519,MOH,0.1425579338097551,0.03572079025879415,0.06363612710747242,1.5053142128633872,0.0561
1520,AXS,1.052627799390623,0.1339664914269255,0.15408867601188242,1.1524772943635722,0.0386
1521,NTGR,0.8145652446286201,0.057732588616022415,0.07861414105792025,1.3654580756572208,-0.228
1522,GOOD,0.20516691256772623,0.00996058795211392,0.035557658085884625,0.14033085377577625,-0.13
1523,ATSG,0.6070705967257024,0.1062392022050157,0.09620335742321703,0.7961660015492138,0.0688
1524,WLL,0.6572508949871709,0.16905348348959673,0.3421848954414717,0.6058347041525716,0.2896
1525,LKQ,0.3349917582829523,0.06331421912222701,0.08583169001183084,0.759656174676745,-0.2171
1526,NNI,0.7968404272075545,0.10618919325006465,0.159877260903213,0.3819769080476961,-0.1287
1527,AHT,-0.008211921329854065,-0.5212132484152764,-0.37843644085681544,2.4314414806224027,-0.1292
1528,SNX,0.7233611160875513,0.03614703471381996,0.06728286102790236,2.892554121663737,-0.1187
1529,AEL,1.677414118758116,0.13164086317782053,0.17598292003736843,1.0246695030919017,0.0057
1530,CONN,1.6307678510474726,-0.009181859175159375,0.10573333785255253,4.054445000370846,-0.3172
1531,TPX,0.03242781294257781,0.0708578347888028,0.1007440696701009,0.5594648707391976,-0.3915
1532,HTH,0.9091252109453476,0.13496141619625648,0.21170269127468377,0.6992312790610135,-0.204
1533,AIZ,0.6317393208965594,0.15793195329406676,0.11084236185721735,1.1723605125172212,0.2146
1534,CMP,0.1684987945121386,-0.12262297123657168,0.04541591527280432,0.4809487938889632,0.2831
1535,SRC,0.6229667480032601,0.027901717113908407,0.04286901834798633,0.09886387855080742,-0.0452
1536,CRM,0.20289472529947544,0.019911486791012074,0.003124616910475618,0.10391918400849426,-0.2547
1537,MEIP,0.13756058933348367,-0.1682009285223378,-0.23175643507818308,0.08492359287825794,-0.7874
1538,AGO,1.677414118758116,0.11476945383547713,0.20180541497035054,0.25697736321516856,0.2032
1539,NYMT,1.2773325182483664,0.1368866616701618,0.1515127038899193,0.26937339492949697,-0.0591
1540,GNW,1.677414118758116,0.2796998248742725,0.4154669688794921,3.5693951736521705,-0.0741
1541,CYTK,0.06309220984046297,-0.055706015548030834,-0.04368977000836183,0.018221124789919444,-0.1321
1542,TBBK,0.4493299144020914,0.0762041508188081,0.1364957361507394,0.22510364430461796,-0.0032
1543,SP,0.33949703293325684,0.04836879075947974,0.11184329219778753,1.796206324355191,0.0606
1544,MKTX,0.06677220456854477,0.016536638300228723,0.02193890092399435,0.044844781721295905,-0.3546
1545,BGS,0.4370338972417788,0.03199107465971128,0.12852468739971473,0.9765315550684583,-0.1015
1546,ABR,0.6714718132284621,0.12236058163923974,0.23024633561612814,0.3016590435988243,-0.0431
1547,DPZ,-0.20641296689653593,0.02503055157926527,0.03826700393340069,0.21366209691634883,-0.3138
1548,MA,0.020764846069787152,0.024669614032855714,0.029130988920114412,0.05362737324697218,-0.0042
1549,GOOGL,0.1311834937891756,0.039637866684969845,0.041035537703901157,0.13431248351525754,-0.1251
1550,MNKD,-0.1904975769520617,-0.07363878935377072,-0.046538593810508976,0.06864861165048526,-0.1579
1551,WTI,-0.3372725016384924,-0.0898867171213782,0.40646444950865374,1.2092600178624875,0.3622
1552,MORN,0.0959796814125875,0.013103236398794522,0.020431016298999835,0.1151905308456882,-0.199
1553,TXRH,0.17081876152068198,0.039599155948125325,0.047783612185367405,0.5592038038023145,-0.0833
1554,EXR,0.10263740409011342,0.027257453517597417,0.030414335800283458,0.054856625973656176,-0.0625
1555,BECN,0.433506996481549,-0.011317746350648658,0.11772943621454966,1.6521422255166678,0.0207
1556,SFL,0.8699390133986674,0.14554052497689385,0.1825041679188541,0.4546583874034026,0.3117
1557,INVA,0.3456152784947836,0.22154250764678896,0.31258231678226955,0.32655132629757916,0.1032
1558,HY,0.516346614184682,-0.25014831770918505,-0.12550794206449284,4.44729006230139,-0.2117
1559,WLK,0.6402681889713177,0.1621798115370465,0.22817854377544758,0.9479671564681558,0.2613
1560,DRH,0.7481271700748223,-0.09607764249055169,-0.07692768521578318,0.28049522686179285,0.0437
